"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1997","1997","PC","Percentage","0","Units","2015","2015",2.85929845130679,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1998","1998","PC","Percentage","0","Units","2015","2015",3.62879274874406,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1999","1999","PC","Percentage","0","Units","2015","2015",3.88606205509789,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2000","2000","PC","Percentage","0","Units","2015","2015",3.92838273828343,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2001","2001","PC","Percentage","0","Units","2015","2015",3.65366807808991,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2002","2002","PC","Percentage","0","Units","2015","2015",3.0042899829473,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2003","2003","PC","Percentage","0","Units","2015","2015",2.87375548229128,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2004","2004","PC","Percentage","0","Units","2015","2015",3.52755717255058,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2005","2005","PC","Percentage","0","Units","2015","2015",4.62509547349325,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2006","2006","PC","Percentage","0","Units","2015","2015",5.72376338424405,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2007","2007","PC","Percentage","0","Units","2015","2015",5.28557236419987,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2008","2008","PC","Percentage","0","Units","2015","2015",3.9284434615067,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2009","2009","PC","Percentage","0","Units","2015","2015",1.96214922622502,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2010","2010","PC","Percentage","0","Units","2015","2015",0.883030849795752,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2011","2011","PC","Percentage","0","Units","2015","2015",0.880459131651847,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2012","2012","PC","Percentage","0","Units","2015","2015",1.28117009310274,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2013","2013","PC","Percentage","0","Units","2015","2015",1.40873764373768,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2014","2014","PC","Percentage","0","Units","2015","2015",1.73553282892772,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2015","2015","PC","Percentage","0","Units","2015","2015",2.30938563397284,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2016","2016","PC","Percentage","0","Units","2015","2015",3.01388761734409,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2017","2017","PC","Percentage","0","Units","2015","2015",3.5007509611038,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2018","2018","PC","Percentage","0","Units","2015","2015",3.656910191586,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2019","2019","PC","Percentage","0","Units","2015","2015",3.12509737697324,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2020","2020","PC","Percentage","0","Units","2015","2015",2.46091145172469,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2021","2021","PC","Percentage","0","Units","2015","2015",2.2293658238011,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2022","2022","PC","Percentage","0","Units","2015","2015",2.41348272493339,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2023","2023","PC","Percentage","0","Units","2015","2015",2.23654244016398,,
"ISL","Iceland","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2024","2024","PC","Percentage","0","Units","2015","2015",2.10297634163598,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1997","1997","PC","Percentage","0","Units","2015","2015",3.42421299788747,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1998","1998","PC","Percentage","0","Units","2015","2015",3.57938013562962,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","1999","1999","PC","Percentage","0","Units","2015","2015",3.65725430606757,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2000","2000","PC","Percentage","0","Units","2015","2015",3.46672366380386,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2001","2001","PC","Percentage","0","Units","2015","2015",3.04015361123557,,
"NLD","Netherlands","GDPVTR_ANNPCT","Potential output, volume, growth","A","Annual","2002","2002","PC","Percentage","0","Units","2015","2015",2.50780214621974,,
